ip,hostname,is_shelly,generation,device_type,model,name,mac,firmware,detected_by,notes
10.107.1.196,shelly1g4-ccba97c8a044,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-ccba97c8a044,CCBA97C8A044,1.6.2,gen4_rpc,
10.107.1.203,shelly1g4-ccba97c8cbf8,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-ccba97c8cbf8,CCBA97C8CBF8,1.6.2,gen4_rpc,
10.107.1.204,shelly1g4-a085e3bcd294,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3bcd294,A085E3BCD294,1.6.2,gen4_rpc,
10.107.1.207,shelly1g4-a085e3c17150,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3c17150,A085E3C17150,1.6.2,gen4_rpc,
10.107.1.221,shelly1pmg4-a085e3bdd5f4,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bdd5f4,A085E3BDD5F4,1.6.2,gen4_rpc,
10.107.1.222,shelly1pmg4-a085e3bc7444,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bc7444,A085E3BC7444,1.6.2,gen4_rpc,
10.107.1.223,shelly1g4-a085e3bcd2a8,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3bcd2a8,A085E3BCD2A8,1.6.2,gen4_rpc,
10.107.1.227,shelly1pmg4-a085e3bdd904,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bdd904,A085E3BDD904,1.6.2,gen4_rpc,
10.107.1.228,shelly1pmg4-a085e3bc7c48,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bc7c48,A085E3BC7C48,1.5.99-g4prod1,gen4_rpc,
10.107.1.231,shelly1g4-a085e3bd891c,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3bd891c,A085E3BD891C,1.6.2,gen4_rpc,
10.107.1.232,shelly1pmg4-a085e3bc5718,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bc5718,A085E3BC5718,1.6.2,gen4_rpc,
10.107.1.251,shelly1pmg4-a085e3bbb77c,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bbb77c,A085E3BBB77C,1.6.2,gen4_rpc,
